what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744632765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744686296
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1302744689921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302744715968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744724140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744851671
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302744855046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744856875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744862531
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1302744862546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744862828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744864187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744864218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744864687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744867656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744868218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302744868250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744872359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744874500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744877296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744881093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744882296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744908406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744912765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744915453
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1302744915468
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1302744917125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744938406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744955484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744958593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744966046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744966875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744967312
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302744973453
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302744973531
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302744973531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744976796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744977937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744978765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744979953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744981312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302744983640
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1302744985921
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302744991359
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302744991578
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302744992687
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302744992921
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302744993015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302744996265
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1302745001937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745012250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745012265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745012312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745036453
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302745041468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745044515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745054328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745062328
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1302745078843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302745080453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302745083687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745085343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745089000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302745090359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745099187
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302745099406
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302745099609
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302745100296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745106296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745110421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302745114640
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302745115984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302745118515
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302745122812
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302745125234
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302745127421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302745128218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302745132640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745135421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302745156859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302745159984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302745170890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302745172468
